COMPANY NAME,source,pais,sector
SUDISTRIBUIDOR,BONATO,Colombia,Plásticos/Textil/Empaques
PELEX,BONATO,Colombia,Plásticos/Textil/Empaques
PLASTICOS MONACO,BONATO,Colombia,Plásticos/Textil/Empaques
LITOPLAS,BONATO,Colombia,Plásticos/Textil/Empaques
OBEN GROUP,BONATO,Colombia,Plásticos/Textil/Empaques
PLASTICOS DEL CARIBE,BONATO,Colombia,Plásticos/Textil/Empaques
TABLEMAC,BONATO,Colombia,Plásticos/Textil/Empaques
POLYBOL,BONATO,Colombia,Plásticos/Textil/Empaques
AZEMBLA,BONATO,Colombia,Plásticos/Textil/Empaques
PRODUCTOS FAMILIA,BONATO,Colombia,Plásticos/Textil/Empaques
ESSITY,BONATO,Colombia,Plásticos/Textil/Empaques
KIMBERLY CLARK,BONATO,Colombia,Plásticos/Textil/Empaques
SEMPERTEX,BONATO,Colombia,Plásticos/Textil/Empaques
Carvajal empaques,BONATO,Colombia,Plásticos/Textil/Empaques
Cadena,BONATO,Colombia,Plásticos/Textil/Empaques
Plasticos calidad,BONATO,Colombia,Plásticos/Textil/Empaques
RPM Colombia,BONATO,Colombia,Plásticos/Textil/Empaques
Amcor,BONATO,Colombia,Plásticos/Textil/Empaques
MICROPLAST COLDEPLAST,BONATO,Colombia,Plásticos/Textil/Empaques
ARCLAD,BONATO,Colombia,Plásticos/Textil/Empaques
PANAMERICANA,BONATO,Colombia,Plásticos/Textil/Empaques
Grupografcol,BONATO,Colombia,Plásticos/Textil/Empaques
LAFAYETTE,BONATO,Colombia,Plásticos/Textil/Empaques
Rediplast,BONATO,Colombia,Plásticos/Textil/Empaques
PAT PRIMO,BONATO,Colombia,Plásticos/Textil/Empaques
TENNIS,BONATO,Colombia,Plásticos/Textil/Empaques
GREENPLASTIC COLOMBIA,BONATO,Colombia,Plásticos/Textil/Empaques
COMPANIA DE EMPAQUE  Grupo EXCALA,BONATO,Colombia,Plásticos/Textil/Empaques
PLASGUICEL,BONATO,Colombia,Plásticos/Textil/Empaques
Envases duque,BONATO,Colombia,Plásticos/Textil/Empaques
El tiempo,BONATO,Colombia,Plásticos/Textil/Empaques
FABRICA DE PLASTICOS JD,BONATO,Colombia,Plásticos/Textil/Empaques
GEOPOLIMEROS,BONATO,Colombia,Plásticos/Textil/Empaques
Plastimeros,BONATO,Colombia,Plásticos/Textil/Empaques
PQA,BONATO,Colombia,Plásticos/Textil/Empaques
Empaqplas,BONATO,Colombia,Plásticos/Textil/Empaques
SURTIPLAST,BONATO,Colombia,Plásticos/Textil/Empaques
PROEMPLAS,BONATO,Colombia,Plásticos/Textil/Empaques
POLYBAN,BONATO,Colombia,Plásticos/Textil/Empaques
Bolsas plásticas Bogota,BONATO,Colombia,Plásticos/Textil/Empaques
PROVITEK,BONATO,Colombia,Plásticos/Textil/Empaques
MULTIPLASTICOS industriales,BONATO,Colombia,Plásticos/Textil/Empaques
BERRY GLOBAL,BONATO,Colombia,Plásticos/Textil/Empaques
EMBALAJE AMFORA,BONATO,Colombia,Plásticos/Textil/Empaques
ECOEMBALAJE,BONATO,Colombia,Plásticos/Textil/Empaques
PLAFILM,BONATO,Colombia,Plásticos/Textil/Empaques
PLASTONE,BONATO,Colombia,Plásticos/Textil/Empaques
GLOBALPLASTICS,BONATO,Colombia,Plásticos/Textil/Empaques
Películas Flexograficas Sas,BONATO,Colombia,Plásticos/Textil/Empaques
PROTELA,BONATO,Colombia,Plásticos/Textil/Empaques
FABRICATO,BONATO,Colombia,Plásticos/Textil/Empaques
DALTEX,BONATO,Colombia,Plásticos/Textil/Empaques
Manufactura Elliot,BONATO,Colombia,Plásticos/Textil/Empaques
ARTURO CALLE,BONATO,Colombia,Plásticos/Textil/Empaques
MIRATEX,BONATO,Colombia,Plásticos/Textil/Empaques
TOPTEX,BONATO,Colombia,Plásticos/Textil/Empaques
TEXTILIA,BONATO,Colombia,Plásticos/Textil/Empaques
GTEX Colombia,BONATO,Colombia,Plásticos/Textil/Empaques
SUTEX,BONATO,Colombia,Plásticos/Textil/Empaques
Textiles del pacifico,BONATO,Colombia,Plásticos/Textil/Empaques
GEF Punto Blanco,BONATO,Colombia,Plásticos/Textil/Empaques
Grupo Acrilan,BONATO,Colombia,Plásticos/Textil/Empaques
Artextil,BONATO,Colombia,Plásticos/Textil/Empaques
CJ textiles,BONATO,Colombia,Plásticos/Textil/Empaques
FIBRETEX,BONATO,Colombia,Plásticos/Textil/Empaques
ASITEX,BONATO,Colombia,Plásticos/Textil/Empaques
TEJEPROCESOS,BONATO,Colombia,Plásticos/Textil/Empaques
Etipress,BONATO,Colombia,Plásticos/Textil/Empaques
Grafiflex,BONATO,Colombia,Plásticos/Textil/Empaques
Sperling sa,BONATO,Colombia,Plásticos/Textil/Empaques
Flexospring,BONATO,Colombia,Plásticos/Textil/Empaques
Bogopack,BONATO,Colombia,Plásticos/Textil/Empaques
Flexografia Colombia,BONATO,Colombia,Plásticos/Textil/Empaques
Rotular,BONATO,Colombia,Plásticos/Textil/Empaques
Servigrafic,BONATO,Colombia,Plásticos/Textil/Empaques
Novaflex,BONATO,Colombia,Plásticos/Textil/Empaques
Iflexo,BONATO,Colombia,Plásticos/Textil/Empaques
ID artes impresores,BONATO,Colombia,Plásticos/Textil/Empaques
FLEXOCOLOR,BONATO,Colombia,Plásticos/Textil/Empaques
Viappiani de Colombia,BONATO,Colombia,Plásticos/Textil/Empaques
NERPEL,BONATO,Colombia,Plásticos/Textil/Empaques
Crystal sas,BONATO,Colombia,Plásticos/Textil/Empaques
ALPHAFLEX sas,BONATO,Colombia,Plásticos/Textil/Empaques
DIVERPLAST Orduña,BONATO,Colombia,Plásticos/Textil/Empaques
Industrias plástica E y C,BONATO,Colombia,Plásticos/Textil/Empaques
Solo empaque del Quindio,BONATO,Colombia,Plásticos/Textil/Empaques
Belplasticos,BONATO,Colombia,Plásticos/Textil/Empaques
