company_name,company_domain,pais,ciudad,profile_key,target_leads,selected_for_run,status,last_run_at,linea_detectada,linea_raw,company_url_raw,source_file,source_sheet
AERIS,,Costa Rica,San José (SJO),airport_ops,10,False,pending,,BHS,Cargo & ULD Handling,,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Cargo\BASE DE DATOS CARGO LATAM.xlsx,CRM_Cargo_ULD_LATAM
AERIS Holding Costa Rica S.A.,sjoairport.com,Costa Rica,,airport_ops,10,False,pending,,BHS,MATEC | LÍNEA AEROPUERTOS,https://sjoairport.com,C:\Users\Juan\Downloads\PROSPECCIÓN\Linea Aeropuertos\BASE DE DATOS AEROPUERTOS FINAL.xlsx,Base de Datos
AERODOM,,Rep. Dominicana,Santo Domingo (SDQ),airport_ops,10,False,pending,,BHS,Cargo & ULD Handling,,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Cargo\BASE DE DATOS CARGO LATAM.xlsx,CRM_Cargo_ULD_LATAM
ASUR,,México,Cancún / CDMX,airport_ops,10,False,pending,,BHS,Cargo & ULD Handling,,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Cargo\BASE DE DATOS CARGO LATAM.xlsx,CRM_Cargo_ULD_LATAM
Aena Brasil,aenabrasil.com.br,Brasil,,airport_ops,10,False,pending,,BHS,MATEC | LÍNEA AEROPUERTOS,https://www.aenabrasil.com.br,C:\Users\Juan\Downloads\PROSPECCIÓN\Linea Aeropuertos\BASE DE DATOS AEROPUERTOS FINAL.xlsx,Base de Datos
Aerocali S.A.,aerocali.com.co,Colombia,,airport_ops,10,False,pending,,BHS,MATEC | LÍNEA AEROPUERTOS,https://www.aerocali.com.co,C:\Users\Juan\Downloads\PROSPECCIÓN\Linea Aeropuertos\BASE DE DATOS AEROPUERTOS FINAL.xlsx,Base de Datos
Aerolíneas Argentinas Cargo,,Argentina,Buenos Aires (EZE),airport_ops,10,False,pending,,BHS,Cargo & ULD Handling,,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Cargo\BASE DE DATOS CARGO LATAM.xlsx,CRM_Cargo_ULD_LATAM
Aeroméxico Cargo,,México,CDMX (MEX),airport_ops,10,False,pending,,BHS,Cargo & ULD Handling,,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Cargo\BASE DE DATOS CARGO LATAM.xlsx,CRM_Cargo_ULD_LATAM
Aeropuerto BOG – Zona Cargo,,Colombia,Bogotá (BOG),airport_ops,10,False,pending,,BHS,Cargo & ULD Handling,,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Cargo\BASE DE DATOS CARGO LATAM.xlsx,CRM_Cargo_ULD_LATAM
Aeropuerto GRU – Zona Cargo,,Brasil,São Paulo (GRU),airport_ops,10,False,pending,,BHS,Cargo & ULD Handling,,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Cargo\BASE DE DATOS CARGO LATAM.xlsx,CRM_Cargo_ULD_LATAM
Aeropuerto GUA – Zona Cargo,,Guatemala,Ciudad de Guatemala (GUA),airport_ops,10,False,pending,,BHS,Cargo & ULD Handling,,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Cargo\BASE DE DATOS CARGO LATAM.xlsx,CRM_Cargo_ULD_LATAM
Aeropuerto Internacional de Puebla S.A. de C.V.,aeropuertopuebla.mx,México,,airport_ops,10,False,pending,,BHS,MATEC | LÍNEA AEROPUERTOS,https://www.aeropuertopuebla.mx,C:\Users\Juan\Downloads\PROSPECCIÓN\Linea Aeropuertos\BASE DE DATOS AEROPUERTOS FINAL.xlsx,Base de Datos
Aeropuerto Internacional de Querétaro S.A. de C.V.,aiq.com.mx,México,,airport_ops,10,False,pending,,BHS,MATEC | LÍNEA AEROPUERTOS,https://www.aiq.com.mx,C:\Users\Juan\Downloads\PROSPECCIÓN\Linea Aeropuertos\BASE DE DATOS AEROPUERTOS FINAL.xlsx,Base de Datos
Aeropuerto Internacional de Tocumen S.A.,tocumenpanama.aero,Panamá,,airport_ops,10,False,pending,,BHS,MATEC | LÍNEA AEROPUERTOS,https://www.tocumenpanama.aero,C:\Users\Juan\Downloads\PROSPECCIÓN\Linea Aeropuertos\BASE DE DATOS AEROPUERTOS FINAL.xlsx,Base de Datos
Aeropuerto Internacional de Toluca S.A. de C.V.,ait.com.mx,México,,airport_ops,10,False,pending,,BHS,MATEC | LÍNEA AEROPUERTOS,https://www.ait.com.mx,C:\Users\Juan\Downloads\PROSPECCIÓN\Linea Aeropuertos\BASE DE DATOS AEROPUERTOS FINAL.xlsx,Base de Datos
Aeropuerto Internacional de la Ciudad de México S.A. de C.V.,aicm.com.mx,México,,airport_ops,10,False,pending,,BHS,MATEC | LÍNEA AEROPUERTOS,https://www.aicm.com.mx,C:\Users\Juan\Downloads\PROSPECCIÓN\Linea Aeropuertos\BASE DE DATOS AEROPUERTOS FINAL.xlsx,Base de Datos
Aeropuerto LIM – Zona Cargo,,Perú,Lima (LIM),airport_ops,10,False,pending,,BHS,Cargo & ULD Handling,,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Cargo\BASE DE DATOS CARGO LATAM.xlsx,CRM_Cargo_ULD_LATAM
Aeropuerto MEX – Zona Cargo,,México,CDMX (MEX),airport_ops,10,False,pending,,BHS,Cargo & ULD Handling,,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Cargo\BASE DE DATOS CARGO LATAM.xlsx,CRM_Cargo_ULD_LATAM
Aeropuerto PTY – Zona Cargo,,Panamá,Ciudad de Panamá (PTY),airport_ops,10,False,pending,,BHS,Cargo & ULD Handling,,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Cargo\BASE DE DATOS CARGO LATAM.xlsx,CRM_Cargo_ULD_LATAM
Aeropuerto SDQ – Zona Cargo,,Rep. Dominicana,Santo Domingo (SDQ),airport_ops,10,False,pending,,BHS,Cargo & ULD Handling,,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Cargo\BASE DE DATOS CARGO LATAM.xlsx,CRM_Cargo_ULD_LATAM
Aeropuerto SJO – Zona Cargo,,Costa Rica,San José (SJO),airport_ops,10,False,pending,,BHS,Cargo & ULD Handling,,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Cargo\BASE DE DATOS CARGO LATAM.xlsx,CRM_Cargo_ULD_LATAM
Aeropuerto SJU – Zona Cargo,,Puerto Rico,San Juan (SJU),airport_ops,10,False,pending,,BHS,Cargo & ULD Handling,,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Cargo\BASE DE DATOS CARGO LATAM.xlsx,CRM_Cargo_ULD_LATAM
Aeropuerto VCP – Zona Cargo,,Brasil,Campinas (VCP),airport_ops,10,False,pending,,BHS,Cargo & ULD Handling,,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Cargo\BASE DE DATOS CARGO LATAM.xlsx,CRM_Cargo_ULD_LATAM
Aeropuertos Andinos del Perú S.A.,aap.com.pe,Perú,,airport_ops,10,False,pending,,BHS,MATEC | LÍNEA AEROPUERTOS,https://www.aap.com.pe,C:\Users\Juan\Downloads\PROSPECCIÓN\Linea Aeropuertos\BASE DE DATOS AEROPUERTOS FINAL.xlsx,Base de Datos
Aeropuertos Argentina 2000 (Corporación América Airports),aa2000.com.ar,Argentina,,airport_ops,10,False,pending,,BHS,MATEC | LÍNEA AEROPUERTOS,https://www.aa2000.com.ar,C:\Users\Juan\Downloads\PROSPECCIÓN\Linea Aeropuertos\BASE DE DATOS AEROPUERTOS FINAL.xlsx,Base de Datos
Aeropuertos Dominicanos Siglo XXI S.A. (AERODOM),aerodom.com,República Dominicana,,airport_ops,10,False,pending,,BHS,MATEC | LÍNEA AEROPUERTOS,https://www.aerodom.com,C:\Users\Juan\Downloads\PROSPECCIÓN\Linea Aeropuertos\BASE DE DATOS AEROPUERTOS FINAL.xlsx,Base de Datos
Aeropuertos Uruguay (Corporación América Airports),aeropuertosuruguay.com.uy,Uruguay,,airport_ops,10,False,pending,,BHS,MATEC | LÍNEA AEROPUERTOS,https://aeropuertosuruguay.com.uy,C:\Users\Juan\Downloads\PROSPECCIÓN\Linea Aeropuertos\BASE DE DATOS AEROPUERTOS FINAL.xlsx,Base de Datos
Aeropuertos de Occidente S.A.S.,aeropuertosdeoccidente.com.co,Colombia,,airport_ops,10,False,pending,,BHS,MATEC | LÍNEA AEROPUERTOS,https://www.aeropuertosdeoccidente.com.co,C:\Users\Juan\Downloads\PROSPECCIÓN\Linea Aeropuertos\BASE DE DATOS AEROPUERTOS FINAL.xlsx,Base de Datos
Aeropuertos del Oriente S.A.S.,aerooriente.com.co,Colombia,,airport_ops,10,False,pending,,BHS,MATEC | LÍNEA AEROPUERTOS,https://www.aerooriente.com.co,C:\Users\Juan\Downloads\PROSPECCIÓN\Linea Aeropuertos\BASE DE DATOS AEROPUERTOS FINAL.xlsx,Base de Datos
Aeropuertos del Perú S.A.,adp.com.pe,Perú,,airport_ops,10,False,pending,,BHS,MATEC | LÍNEA AEROPUERTOS,https://www.adp.com.pe,C:\Users\Juan\Downloads\PROSPECCIÓN\Linea Aeropuertos\BASE DE DATOS AEROPUERTOS FINAL.xlsx,Base de Datos
Aeropuertos y Servicios Auxiliares (ASA),gob.mx,México,,airport_ops,10,False,pending,,BHS,MATEC | LÍNEA AEROPUERTOS,https://www.gob.mx/asa,C:\Users\Juan\Downloads\PROSPECCIÓN\Linea Aeropuertos\BASE DE DATOS AEROPUERTOS FINAL.xlsx,Base de Datos
Aerostar Airport Holdings,,Puerto Rico,San Juan (SJU),airport_ops,10,False,pending,,BHS,Cargo & ULD Handling,,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Cargo\BASE DE DATOS CARGO LATAM.xlsx,CRM_Cargo_ULD_LATAM
Aerostar Airport Holdings LLC,sjuairport.com,Puerto Rico,,airport_ops,10,False,pending,,BHS,MATEC | LÍNEA AEROPUERTOS,https://sjuairport.com,C:\Users\Juan\Downloads\PROSPECCIÓN\Linea Aeropuertos\BASE DE DATOS AEROPUERTOS FINAL.xlsx,Base de Datos
Aerounión,,México,Toluca (TLC),airport_ops,10,False,pending,,BHS,Cargo & ULD Handling,,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Cargo\BASE DE DATOS CARGO LATAM.xlsx,CRM_Cargo_ULD_LATAM
Air Panamá (belly cargo),,Panamá,Ciudad de Panamá (PAC/PTY),airport_ops,10,False,pending,,BHS,Cargo & ULD Handling,,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Cargo\BASE DE DATOS CARGO LATAM.xlsx,CRM_Cargo_ULD_LATAM
Airplan S.A.S.,airplan.aero,Colombia,,airport_ops,10,False,pending,,BHS,MATEC | LÍNEA AEROPUERTOS,https://www.airplan.aero,C:\Users\Juan\Downloads\PROSPECCIÓN\Linea Aeropuertos\BASE DE DATOS AEROPUERTOS FINAL.xlsx,Base de Datos
Airports Authority of Jamaica (AAJ),airportsauthorityjamaica.aero,Jamaica,,airport_ops,10,False,pending,,BHS,MATEC | LÍNEA AEROPUERTOS,https://www.airportsauthorityjamaica.aero,C:\Users\Juan\Downloads\PROSPECCIÓN\Linea Aeropuertos\BASE DE DATOS AEROPUERTOS FINAL.xlsx,Base de Datos
Airports Authority of Trinidad and Tobago (AATT),tntairports.com,Trinidad y Tobago,,airport_ops,10,False,pending,,BHS,MATEC | LÍNEA AEROPUERTOS,https://www.tntairports.com,C:\Users\Juan\Downloads\PROSPECCIÓN\Linea Aeropuertos\BASE DE DATOS AEROPUERTOS FINAL.xlsx,Base de Datos
Amerijet International,,Puerto Rico,San Juan (SJU),airport_ops,10,False,pending,,BHS,Cargo & ULD Handling,,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Cargo\BASE DE DATOS CARGO LATAM.xlsx,CRM_Cargo_ULD_LATAM
Anguilla Air and Sea Ports Authority,aaspa.ai,Anguila,,airport_ops,10,False,pending,,BHS,MATEC | LÍNEA AEROPUERTOS,https://www.aaspa.ai,C:\Users\Juan\Downloads\PROSPECCIÓN\Linea Aeropuertos\BASE DE DATOS AEROPUERTOS FINAL.xlsx,Base de Datos
Antigua and Barbuda Airport Authority,vcbia.com,Antigua y Barbuda,,airport_ops,10,False,pending,,BHS,MATEC | LÍNEA AEROPUERTOS,https://vcbia.com,C:\Users\Juan\Downloads\PROSPECCIÓN\Linea Aeropuertos\BASE DE DATOS AEROPUERTOS FINAL.xlsx,Base de Datos
Arajet (belly cargo),,Rep. Dominicana,Santo Domingo (SDQ),airport_ops,10,False,pending,,BHS,Cargo & ULD Handling,,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Cargo\BASE DE DATOS CARGO LATAM.xlsx,CRM_Cargo_ULD_LATAM
Argyle International Airport Inc.,svgia.com,San Vicente y las Granadinas,,airport_ops,10,False,pending,,BHS,MATEC | LÍNEA AEROPUERTOS,https://www.svgia.com,C:\Users\Juan\Downloads\PROSPECCIÓN\Linea Aeropuertos\BASE DE DATOS AEROPUERTOS FINAL.xlsx,Base de Datos
